ISO3_code,date,NCU_to_USD,source
PNG,26/12/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,27/12/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,28/12/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,29/12/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,30/12/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
PNG,31/12/2022,0.28,https://www.bankpng.gov.pg/historical-exchange-rates/
IDN,12/30/2022 12:00:00 AM,15592.00,https://www.bi.go.id/en/statistik/informasi-kurs/jisdor/Default.aspx
IDN,12/29/2022 12:00:00 AM,15731.00,https://www.bi.go.id/en/statistik/informasi-kurs/jisdor/Default.aspx
IDN,12/28/2022 12:00:00 AM,15703.00,https://www.bi.go.id/en/statistik/informasi-kurs/jisdor/Default.aspx
IDN,12/27/2022 12:00:00 AM,15659.00,https://www.bi.go.id/en/statistik/informasi-kurs/jisdor/Default.aspx
